Epoch,Loss,Val_F1,Val_AUC,Val_Precision,Val_Recall
1,0.08832458406686783,0.41025641025641024,0.8323123000476482,0.26058631921824105,0.963855421686747
2,0.08845982700586319,0.4375,0.8325845755904976,0.2862453531598513,0.927710843373494
3,0.0868343785405159,0.4652567975830816,0.8345926077190116,0.31048387096774194,0.927710843373494
4,0.08553172647953033,0.475,0.836668708733238,0.3206751054852321,0.9156626506024096
5,0.08372219651937485,0.4794952681388013,0.8391191886188822,0.3247863247863248,0.9156626506024096
6,0.08358629047870636,0.4887459807073955,0.8409570485331155,0.3333333333333333,0.9156626506024096
7,0.08300012350082397,0.5085910652920962,0.8426247362330678,0.3557692307692308,0.891566265060241
8,0.08188009262084961,0.5211267605633803,0.8435096317473283,0.3681592039800995,0.891566265060241
9,0.0795094221830368,0.524822695035461,0.8435096317473283,0.37185929648241206,0.891566265060241
10,0.0796053409576416,0.5342960288808665,0.8439520795044585,0.38144329896907214,0.891566265060241
11,0.07881446927785873,0.5468164794007491,0.8438840106187462,0.3967391304347826,0.8795180722891566
12,0.07717131823301315,0.5615384615384615,0.8437819072901777,0.4124293785310734,0.8795180722891566
13,0.07646775245666504,0.5634920634920635,0.8447348716901504,0.42011834319526625,0.8554216867469879
14,0.07562553882598877,0.5725806451612904,0.8447008372472943,0.4303030303030303,0.8554216867469879
15,0.07551031559705734,0.5691056910569106,0.845041181675856,0.4294478527607362,0.8433734939759037
16,0.07478276640176773,0.5761316872427984,0.8453134572187052,0.4375,0.8433734939759037
17,0.0740472674369812,0.575,0.8451092505615683,0.4394904458598726,0.8313253012048193
18,0.07201486080884933,0.5654008438818565,0.8449731127901438,0.43506493506493504,0.8072289156626506
19,0.07126790285110474,0.5617021276595745,0.8452453883329929,0.4342105263157895,0.7951807228915663
20,0.07091054320335388,0.5579399141630901,0.8455516983186985,0.43333333333333335,0.7831325301204819
21,0.0699918270111084,0.5603448275862069,0.8458239738615478,0.436241610738255,0.7831325301204819
22,0.07050027698278427,0.5603448275862069,0.8462664216186782,0.436241610738255,0.7831325301204819
23,0.0701419785618782,0.5627705627705628,0.8467769382615207,0.4391891891891892,0.7831325301204819
24,0.06885050237178802,0.5652173913043478,0.8471513171329386,0.4421768707482993,0.7831325301204819
25,0.06988225132226944,0.5627705627705628,0.8477639371043496,0.4391891891891892,0.7831325301204819
26,0.0685947835445404,0.5627705627705628,0.8484105915186169,0.4391891891891892,0.7831325301204819
27,0.06882678717374802,0.5627705627705628,0.8489891770471717,0.4391891891891892,0.7831325301204819
28,0.06621342152357101,0.5627705627705628,0.8496017970185827,0.4391891891891892,0.7831325301204819
29,0.0678439736366272,0.5627705627705628,0.8496698659042952,0.4391891891891892,0.7831325301204819
30,0.06610073149204254,0.5603448275862069,0.8501803825471378,0.436241610738255,0.7831325301204819
31,0.06554121524095535,0.5641025641025641,0.8505547614185556,0.4370860927152318,0.7951807228915663
32,0.06648148596286774,0.5702127659574469,0.8510993125042543,0.4407894736842105,0.8072289156626506
33,0.06697893142700195,0.5702127659574469,0.8515757947042406,0.4407894736842105,0.8072289156626506
34,0.06696423143148422,0.576271186440678,0.8519842080185147,0.4444444444444444,0.8192771084337349
35,0.06608261913061142,0.576271186440678,0.853039275747056,0.4444444444444444,0.8192771084337349
36,0.06614111363887787,0.5822784810126582,0.8535838268327547,0.44805194805194803,0.8313253012048193
37,0.06564532220363617,0.5798319327731093,0.8542645156898783,0.44516129032258067,0.8313253012048193
38,0.06390172988176346,0.5798319327731093,0.8547750323327207,0.44516129032258067,0.8313253012048193
39,0.06528539210557938,0.5822784810126582,0.8553195834184195,0.44805194805194803,0.8313253012048193
40,0.06367992609739304,0.5822784810126582,0.856238513375536,0.44805194805194803,0.8313253012048193
41,0.06282930821180344,0.5822784810126582,0.8564427200326731,0.44805194805194803,0.8313253012048193
42,0.06321056932210922,0.5798319327731093,0.8573276155469335,0.44516129032258067,0.8313253012048193
43,0.06412392854690552,0.5798319327731093,0.8576679599754952,0.44516129032258067,0.8313253012048193
44,0.06324736773967743,0.5798319327731093,0.8578721666326322,0.44516129032258067,0.8313253012048193
45,0.06171286106109619,0.5822784810126582,0.8582465455040501,0.44805194805194803,0.8313253012048193
46,0.06260264664888382,0.5822784810126582,0.8591995099040228,0.44805194805194803,0.8313253012048193
47,0.06284290552139282,0.5798319327731093,0.8599482676468586,0.44516129032258067,0.8313253012048193
48,0.06264060735702515,0.5798319327731093,0.8606629909468382,0.44516129032258067,0.8313253012048193
49,0.061983417719602585,0.5798319327731093,0.8612415764753931,0.44516129032258067,0.8313253012048193
50,0.06323571503162384,0.5822784810126582,0.8619222653325165,0.44805194805194803,0.8313253012048193
